# -------
# invalid: data/dm-tempo-mensal.csv.gz
# -------

====  =====  ==========  =================================================================================================================
row   field  code        message                                                                                                          
====  =====  ==========  =================================================================================================================
 324      2  type-error  Type error in the cell "192200" in row "324" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 324      5  type-error  Type error in the cell "00/1922" in row "324" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 325      2  type-error  Type error in the cell "192214" in row "325" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 325      5  type-error  Type error in the cell "14/1922" in row "325" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 326      2  type-error  Type error in the cell "192213" in row "326" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 326      5  type-error  Type error in the cell "13/1922" in row "326" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 339      2  type-error  Type error in the cell "192300" in row "339" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 339      5  type-error  Type error in the cell "00/1923" in row "339" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 340      2  type-error  Type error in the cell "192314" in row "340" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 340      5  type-error  Type error in the cell "14/1923" in row "340" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 341      2  type-error  Type error in the cell "192313" in row "341" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 341      5  type-error  Type error in the cell "13/1923" in row "341" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 354      2  type-error  Type error in the cell "192400" in row "354" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 354      5  type-error  Type error in the cell "00/1924" in row "354" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 355      2  type-error  Type error in the cell "192414" in row "355" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 355      5  type-error  Type error in the cell "14/1924" in row "355" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 356      2  type-error  Type error in the cell "192413" in row "356" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 356      5  type-error  Type error in the cell "13/1924" in row "356" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 369      2  type-error  Type error in the cell "192500" in row "369" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 369      5  type-error  Type error in the cell "00/1925" in row "369" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 370      2  type-error  Type error in the cell "192514" in row "370" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 370      5  type-error  Type error in the cell "14/1925" in row "370" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 371      2  type-error  Type error in the cell "192513" in row "371" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 371      5  type-error  Type error in the cell "13/1925" in row "371" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 382      2  type-error  Type error in the cell "199013" in row "382" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 382      5  type-error  Type error in the cell "13/1990" in row "382" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 395      2  type-error  Type error in the cell "199100" in row "395" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 395      5  type-error  Type error in the cell "00/1991" in row "395" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 396      2  type-error  Type error in the cell "199114" in row "396" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 396      5  type-error  Type error in the cell "14/1991" in row "396" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 397      2  type-error  Type error in the cell "199113" in row "397" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 397      5  type-error  Type error in the cell "13/1991" in row "397" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 410      2  type-error  Type error in the cell "199200" in row "410" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 410      5  type-error  Type error in the cell "00/1992" in row "410" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 411      2  type-error  Type error in the cell "199214" in row "411" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 411      5  type-error  Type error in the cell "14/1992" in row "411" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 412      2  type-error  Type error in the cell "199213" in row "412" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 412      5  type-error  Type error in the cell "13/1992" in row "412" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 425      2  type-error  Type error in the cell "199300" in row "425" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 425      5  type-error  Type error in the cell "00/1993" in row "425" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 426      2  type-error  Type error in the cell "199314" in row "426" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 426      5  type-error  Type error in the cell "14/1993" in row "426" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 427      2  type-error  Type error in the cell "199313" in row "427" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 427      5  type-error  Type error in the cell "13/1993" in row "427" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 440      2  type-error  Type error in the cell "199400" in row "440" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 440      5  type-error  Type error in the cell "00/1994" in row "440" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 441      2  type-error  Type error in the cell "199414" in row "441" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 441      5  type-error  Type error in the cell "14/1994" in row "441" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 442      2  type-error  Type error in the cell "199413" in row "442" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 442      5  type-error  Type error in the cell "13/1994" in row "442" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 459      2  type-error  Type error in the cell "198200" in row "459" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 459      5  type-error  Type error in the cell "00/1982" in row "459" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 460      2  type-error  Type error in the cell "198214" in row "460" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 460      5  type-error  Type error in the cell "14/1982" in row "460" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 461      2  type-error  Type error in the cell "198213" in row "461" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 461      5  type-error  Type error in the cell "13/1982" in row "461" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 474      2  type-error  Type error in the cell "198300" in row "474" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 474      5  type-error  Type error in the cell "00/1983" in row "474" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 475      2  type-error  Type error in the cell "198314" in row "475" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 475      5  type-error  Type error in the cell "14/1983" in row "475" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 476      2  type-error  Type error in the cell "198313" in row "476" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 476      5  type-error  Type error in the cell "13/1983" in row "476" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 489      2  type-error  Type error in the cell "198400" in row "489" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 489      5  type-error  Type error in the cell "00/1984" in row "489" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 490      2  type-error  Type error in the cell "198414" in row "490" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 490      5  type-error  Type error in the cell "14/1984" in row "490" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 491      2  type-error  Type error in the cell "198413" in row "491" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 491      5  type-error  Type error in the cell "13/1984" in row "491" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 504      2  type-error  Type error in the cell "198500" in row "504" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 504      5  type-error  Type error in the cell "00/1985" in row "504" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 505      2  type-error  Type error in the cell "198514" in row "505" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 505      5  type-error  Type error in the cell "14/1985" in row "505" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 506      2  type-error  Type error in the cell "198513" in row "506" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 506      5  type-error  Type error in the cell "13/1985" in row "506" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 519      2  type-error  Type error in the cell "198600" in row "519" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 519      5  type-error  Type error in the cell "00/1986" in row "519" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 520      2  type-error  Type error in the cell "198614" in row "520" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 520      5  type-error  Type error in the cell "14/1986" in row "520" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 521      2  type-error  Type error in the cell "198613" in row "521" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 521      5  type-error  Type error in the cell "13/1986" in row "521" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 524      2  type-error  Type error in the cell "198714" in row "524" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 524      5  type-error  Type error in the cell "14/1987" in row "524" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 535      2  type-error  Type error in the cell "198700" in row "535" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 535      5  type-error  Type error in the cell "00/1987" in row "535" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 536      2  type-error  Type error in the cell "198713" in row "536" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 536      5  type-error  Type error in the cell "13/1987" in row "536" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 549      2  type-error  Type error in the cell "198800" in row "549" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 549      5  type-error  Type error in the cell "00/1988" in row "549" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 550      2  type-error  Type error in the cell "198814" in row "550" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 550      5  type-error  Type error in the cell "14/1988" in row "550" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 551      2  type-error  Type error in the cell "198813" in row "551" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 551      5  type-error  Type error in the cell "13/1988" in row "551" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 564      2  type-error  Type error in the cell "198900" in row "564" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 564      5  type-error  Type error in the cell "00/1989" in row "564" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 565      2  type-error  Type error in the cell "198914" in row "565" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 565      5  type-error  Type error in the cell "14/1989" in row "565" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 566      2  type-error  Type error in the cell "198913" in row "566" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 566      5  type-error  Type error in the cell "13/1989" in row "566" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 579      2  type-error  Type error in the cell "199000" in row "579" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 579      5  type-error  Type error in the cell "00/1990" in row "579" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 580      2  type-error  Type error in the cell "199014" in row "580" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 580      5  type-error  Type error in the cell "14/1990" in row "580" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 586      2  type-error  Type error in the cell "190900" in row "586" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 586      5  type-error  Type error in the cell "00/1909" in row "586" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
